,pattern,user-timestamp,pattern-length,pattern-frequency
10,"ModeChange,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670986081;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671204568;,11,2
11,"ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670988555;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671208071;,9,2
12,"ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670988555;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671208071;,10,2
13,"LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670994252;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671214750;,9,2
14,"ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671000254;GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601682073420;,9,2
15,"LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose,ModeChange,LiftUp",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671002409;WhSifplf1lVOhFAtebSbLKm6XD43:1601495420156;,9,2
16,"LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose,ModeChange,LiftUp,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671002409;WhSifplf1lVOhFAtebSbLKm6XD43:1601495420156;,10,2
17,"ArmExtend,LiftDown,ArmExtend,LiftDown,ModeChange,GripperClose,ModeChange,LiftUp,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671005435;WhSifplf1lVOhFAtebSbLKm6XD43:1601495426398;,9,2
18,"LiftDown,ModeChange,GripperClose,ModeChange,ArmExtend,LiftUp,LiftDown,LiftUp,ArmRetract",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601680879034;WhSifplf1lVOhFAtebSbLKm6XD43:1601493231479;,9,2
19,"ArmExtend,LiftUp,LiftDown,LiftUp,ArmRetract,SpeedChange,ArmRetract,ModeChange,WristIn",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601680891897;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428958498;,9,2
20,"ArmExtend,LiftUp,LiftDown,LiftUp,ArmRetract,SpeedChange,ArmRetract,ModeChange,WristIn,ModeChange",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601680891897;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428958498;,10,2
21,"LiftUp,LiftDown,LiftUp,ArmRetract,SpeedChange,ArmRetract,ModeChange,WristIn,ModeChange",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601680900100;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428960057;,9,2
22,"MoveForward,TurnRight,MoveForward,TurnRight,TurnLeft,MoveForward,TurnRight,MoveForward,TurnRight",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601681529747;dUL4ELLXlcPFUmGKA8vw9yhDPsN2:1601745626821;,9,2
23,"GripperOpen,ModeChange,LiftUp,ArmRetract,ModeChange,GripperClose,GripperOpen,ModeChange,ArmRetract",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601682015467;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601858239369;,9,2
24,"LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601682331365;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601857583322;,9,2
25,"ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,LiftUp",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601682332881;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427166477;,9,2
26,"LiftUp,ArmRetract,ModeChange,WristIn,SpeedChange,WristIn,ModeChange,SetCameraView,MoveForward",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601682433114;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428710249;,9,2
27,"MoveForward,ModeChange,SetCameraView,MoveForward,ModeChange,LookLeft,ModeChange,MoveForward,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839606189;WhSifplf1lVOhFAtebSbLKm6XD43:1601491370510;,9,2
28,"TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,TurnLeft,ModeChange,LiftUp",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839751946;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861090816;,9,2
29,"ModeChange,SetCameraView,ModeChange,TurnLeft,ModeChange,LiftUp,ModeChange,TurnLeft,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839791084;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859119560;,9,2
30,"ModeChange,SetCameraView,ModeChange,TurnLeft,ModeChange,LiftUp,ModeChange,TurnLeft,ModeChange,WristOut",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839791084;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859119560;,10,2
31,"ModeChange,SetCameraView,ModeChange,TurnLeft,ModeChange,LiftUp,ModeChange,TurnLeft,ModeChange,WristOut,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839791084;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859119560;,11,2
32,"SetCameraView,ModeChange,TurnLeft,ModeChange,LiftUp,ModeChange,TurnLeft,ModeChange,WristOut",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839791968;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859120289;,9,2
33,"SetCameraView,ModeChange,TurnLeft,ModeChange,LiftUp,ModeChange,TurnLeft,ModeChange,WristOut,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839791968;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859120289;,10,2
34,"ModeChange,TurnLeft,ModeChange,LiftUp,ModeChange,TurnLeft,ModeChange,WristOut,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839795723;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859124434;,9,2
35,"TurnRight,MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840036455;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841536868;,9,2
36,"TurnRight,MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840036455;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841536868;,10,2
37,"TurnRight,MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840036455;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841536868;,11,2
38,"TurnRight,MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange,SetCameraView",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840036455;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841536868;,12,2
39,"MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840044734;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841539233;,9,2
40,"MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840044734;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841539233;,10,2
41,"MoveForward,ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange,SetCameraView",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840044734;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841539233;,11,2
42,"ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840053162;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841550694;,9,2
43,"ModeChange,SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange,SetCameraView",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840053162;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841550694;,10,2
44,"SetCameraView,ModeChange,MoveForward,SetCameraView,MoveForward,ModeChange,SetCameraView,ModeChange,SetCameraView",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840054758;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841551493;,9,2
45,"TurnRight,MoveForward,TurnLeft,MoveForward,TurnRight,MoveForward,ModeChange,SetCameraView,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601840619112;eromme8ZjsdqvHMY3joZZCT8FYx2:1601850248474;,9,2
46,"ArmExtend,LiftDown,ModeChange,GripperClose,ModeChange,LiftUp,SpeedChange,LiftUp,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841455598;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835339911;,9,2
47,"ModeChange,TurnLeft,ModeChange,WristOut,ModeChange,TurnLeft,ModeChange,WristOut,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601842456994;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859135300;,9,2
48,"ModeChange,GripperClose,ModeChange,ArmExtend,LiftUp,ArmRetract,LiftUp,ModeChange,WristIn",WhSifplf1lVOhFAtebSbLKm6XD43:1601492626630;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847850100;,9,2
49,"ModeChange,GripperClose,ModeChange,ArmExtend,LiftUp,ArmRetract,LiftUp,ModeChange,WristIn,ModeChange",WhSifplf1lVOhFAtebSbLKm6XD43:1601492626630;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847850100;,10,2
50,"ModeChange,GripperClose,ModeChange,ArmExtend,LiftUp,ArmRetract,LiftUp,ModeChange,WristIn,ModeChange,SetCameraView",WhSifplf1lVOhFAtebSbLKm6XD43:1601492626630;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847850100;,11,2
51,"GripperClose,ModeChange,ArmExtend,LiftUp,ArmRetract,LiftUp,ModeChange,WristIn,ModeChange",WhSifplf1lVOhFAtebSbLKm6XD43:1601492627842;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847854610;,9,2
52,"GripperClose,ModeChange,ArmExtend,LiftUp,ArmRetract,LiftUp,ModeChange,WristIn,ModeChange,SetCameraView",WhSifplf1lVOhFAtebSbLKm6XD43:1601492627842;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847854610;,10,2
53,"ModeChange,ArmExtend,LiftUp,ArmRetract,LiftUp,ModeChange,WristIn,ModeChange,SetCameraView",WhSifplf1lVOhFAtebSbLKm6XD43:1601492641067;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847860232;,9,2
54,"ModeChange,SetCameraView,MoveBackward,TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange",WhSifplf1lVOhFAtebSbLKm6XD43:1601492845129;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847129184;,9,2
55,"ArmRetract,LiftDown,ModeChange,GripperOpen,ModeChange,ArmExtend,LiftUp,ArmRetract,ModeChange",WhSifplf1lVOhFAtebSbLKm6XD43:1601493501209;dUL4ELLXlcPFUmGKA8vw9yhDPsN2:1601752157641;,9,2
56,"ModeChange,SetCameraView,MoveForward,ModeChange,SetCameraView,MoveForward,LiftUp,ArmExtend,ModeChange",WhSifplf1lVOhFAtebSbLKm6XD43:1601493769906;eromme8ZjsdqvHMY3joZZCT8FYx2:1601848827582;,9,2
57,"ModeChange,SetCameraView,MoveForward,ModeChange,SetCameraView,MoveForward,LiftUp,ArmExtend,ModeChange,WristOut",WhSifplf1lVOhFAtebSbLKm6XD43:1601493769906;eromme8ZjsdqvHMY3joZZCT8FYx2:1601848827582;,10,2
58,"SetCameraView,MoveForward,ModeChange,SetCameraView,MoveForward,LiftUp,ArmExtend,ModeChange,WristOut",WhSifplf1lVOhFAtebSbLKm6XD43:1601493770729;eromme8ZjsdqvHMY3joZZCT8FYx2:1601848829059;,9,2
59,"MoveBackward,LiftDown,ModeChange,GripperClose,ModeChange,LiftUp,SpeedChange,LiftUp,ModeChange",WhSifplf1lVOhFAtebSbLKm6XD43:1601495766170;dUL4ELLXlcPFUmGKA8vw9yhDPsN2:1601745412878;,9,2
60,"SpeedChange,TurnLeft,MoveForward,TurnLeft,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange",YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835076137;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835391285;,9,2
61,"SpeedChange,TurnLeft,MoveForward,TurnLeft,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,WristOut",YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835076137;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835391285;,10,2
62,"SpeedChange,TurnLeft,MoveForward,TurnLeft,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,WristOut,ModeChange",YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835076137;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835391285;,11,2
63,"TurnLeft,MoveForward,TurnLeft,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,WristOut",YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835076898;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835392032;,9,2
64,"TurnLeft,MoveForward,TurnLeft,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,WristOut,ModeChange",YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835076898;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835392032;,10,2
65,"MoveForward,TurnLeft,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,WristOut,ModeChange",YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835081618;YaRdRSyPx7Z9By3xHIftrhOvUPG3:1601835397358;,9,2
66,"SpeedChange,LookRight,SpeedChange,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView",bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855459928;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601424763331;,9,2
67,"SpeedChange,LookRight,SpeedChange,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange",bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855459928;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601424763331;,10,2
68,"LookRight,SpeedChange,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange",bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855461114;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601424764780;,9,2
69,"MoveForward,TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,SetCameraView,TurnLeft",eromme8ZjsdqvHMY3joZZCT8FYx2:1601846238034;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429903774;,9,2
70,"SetCameraView,ModeChange,SetCameraView,TurnLeft,MoveForward,TurnLeft,MoveForward,TurnLeft,MoveForward",eromme8ZjsdqvHMY3joZZCT8FYx2:1601846267755;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847297834;,9,2
71,"ModeChange,WristIn,ModeChange,SetCameraView,MoveBackward,TurnLeft,MoveForward,ModeChange,SetCameraView",eromme8ZjsdqvHMY3joZZCT8FYx2:1601846365286;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847892858;,9,2
72,"MoveForward,TurnLeft,MoveForward,TurnRight,TurnLeft,MoveForward,ModeChange,SetCameraView,ModeChange",eromme8ZjsdqvHMY3joZZCT8FYx2:1601847317153;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601426421007;,9,2
73,"SetCameraView,TurnRight,MoveForward,TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange",sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427094013;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429895576;,9,2
74,"SetCameraView,TurnRight,MoveForward,TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,SetCameraView",sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427094013;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429895576;,10,2
75,"TurnRight,MoveForward,TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange,SetCameraView",sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427096011;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429897176;,9,2
76,"ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView",bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861129194;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425650699;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429300209;,10,3
77,"SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView",bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861130037;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425704267;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429301909;,9,3
78,"ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown,ArmExtend,LiftDown",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601670988555;AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601671208071;GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601682332881;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601857590896;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427166477;,8,5
79,"ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601679749845;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855477275;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601860117207;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861129194;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425650699;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429300209;,8,6
80,"ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601679749845;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855477275;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601860117207;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861129194;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425650699;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429300209;,9,6
81,"SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601679775329;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855481722;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601860118924;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861130037;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425704267;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428669298;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429301909;,8,7
82,"SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView",GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601679775329;WhSifplf1lVOhFAtebSbLKm6XD43:1601491147114;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855481722;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601860118924;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861130037;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425704267;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428669298;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429301909;,7,8
83,"ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601668082561;GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601679749845;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855477275;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601860117207;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861129194;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861151381;i0lfuYvLE9c9SaySS0HUaKhaj1z2:1601603468201;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601424769682;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425650699;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428289637;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428672148;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429300209;,7,12
84,"TurnRight,MoveForward,TurnLeft,ModeChange,SetCameraView,ModeChange",J4Om8tbxZzYjgjRQn8JExHstuIt1:1601839751946;WhSifplf1lVOhFAtebSbLKm6XD43:1601492206179;WhSifplf1lVOhFAtebSbLKm6XD43:1601492852181;WhSifplf1lVOhFAtebSbLKm6XD43:1601493445826;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601859051385;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861090816;eromme8ZjsdqvHMY3joZZCT8FYx2:1601846247228;eromme8ZjsdqvHMY3joZZCT8FYx2:1601847148286;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427101512;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427306825;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601427925575;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429906179;,6,12
85,"SetCameraView,ModeChange,SetCameraView,ModeChange,SetCameraView,ModeChange",AjGG1Sd6OFOHeBnc6EUAcBmujnn1:1601668084186;GYCKbAFDDSMaBvGvGA2nnxMX6Tj2:1601679775329;J4Om8tbxZzYjgjRQn8JExHstuIt1:1601841712268;WhSifplf1lVOhFAtebSbLKm6XD43:1601491147114;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855481722;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601855551095;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601860118924;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861130037;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861152164;bNxjjnUzhOcdws3RM79iM6QTXdm2:1601861199946;dUL4ELLXlcPFUmGKA8vw9yhDPsN2:1601751643326;i0lfuYvLE9c9SaySS0HUaKhaj1z2:1601603469649;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601424777285;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601425704267;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428293889;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601428669298;sbYKJHjDTxfRDcukcWU1TdJPjQe2:1601429301909;,6,17
